epoch,acc,mAP,train_loss,val_loss,model_save
1,0.4651898734177215,0.4664243646195607,1.4848289168824897,1.5115481606012657,0
2,0.5,0.5139059243136689,1.3037530665523496,1.4555552808544303,0
3,0.5487341772151899,0.6054830409710471,1.1550751502562828,1.4051250988924051,0
4,0.6050632911392405,0.645156751882775,1.0727735464174377,1.3677066851265822,0
5,0.6164556962025316,0.6713746106987758,0.9898300118460334,1.354563884493671,0
6,0.6113924050632912,0.6813612446659544,0.9397359819531091,1.3492558346518988,0
7,0.6303797468354431,0.6821109753063249,0.9045893086715877,1.3487564280063291,0
8,0.6708860759493671,0.723146938236745,0.8574458431288644,1.3253510680379748,0
9,0.649367088607595,0.695498236231967,0.8318846945888486,1.3397053006329114,0
10,0.6518987341772152,0.7148204608921231,0.810691905755801,1.3312228045886076,0
11,0.6810126582278481,0.7280396640561569,0.7740966731633259,1.3215338212025316,0
12,0.6582278481012658,0.7361393668548362,0.7589872887931611,1.3191307357594937,0
13,0.6955696202531646,0.7440685837373798,0.7416978865512305,1.3031695015822784,0
14,0.6949367088607595,0.7467875222604883,0.7113413704717614,1.2935472705696203,0
15,0.6993670886075949,0.7505129445373837,0.7067283222490042,1.3002892602848102,0
16,0.669620253164557,0.7390165893014015,0.6822138581982107,1.309599980221519,0
17,0.6968354430379747,0.7590195578854697,0.6598193594961922,1.289967365506329,0
18,0.6886075949367089,0.7569293431561818,0.6473424739545741,1.286565466772152,0
19,0.7025316455696202,0.7725274504880222,0.6303486595405512,1.2816777096518988,0
20,0.7075949367088608,0.7657335876275837,0.6085197879771683,1.2859152492088608,0
21,0.700632911392405,0.7607302393438713,0.5852666188807082,1.2796726661392406,0
22,0.7069620253164557,0.7701962494686654,0.5696947238662026,1.2731556566455695,0
23,0.7088607594936709,0.771726449900475,0.5464430597498795,1.2713607594936709,0
24,0.7265822784810126,0.774571271051893,0.5396123692284057,1.268754944620253,0
25,0.7272151898734177,0.7829719505516868,0.5265490104769331,1.2634889240506328,0
26,0.7259493670886076,0.7764863712953809,0.5053313199638272,1.2652417919303798,0
27,0.6974683544303798,0.7728863273728728,0.4995564841673521,1.268045391613924,0
28,0.720253164556962,0.7658541282061426,0.4692696986310293,1.2678303006329115,0
29,0.7221518987341772,0.792246240725573,0.46266224057006694,1.2512460443037974,0
30,0.6955696202531646,0.7780677702732434,0.4560745845922976,1.2610017800632911,0
31,0.7265822784810126,0.7891064613392544,0.4495349352136036,1.248845431170886,0
32,0.7227848101265822,0.781430588303236,0.41205880539901446,1.2567395174050633,0
33,0.7259493670886076,0.780372929348235,0.4154224299790223,1.2474461036392406,0
34,0.7132911392405064,0.7778272486168091,0.3998174704764246,1.2487539556962026,0
35,0.7177215189873418,0.7827586030424155,0.39092200792604875,1.248620450949367,0
36,0.720253164556962,0.7825025790275068,0.3636354919512076,1.244548556170886,0
37,0.7145569620253165,0.7715725373958484,0.352739213977304,1.2466747428797469,0
38,0.7107594936708861,0.7823562643728555,0.35630203651324394,1.2480444026898734,0
39,0.7189873417721518,0.7834727948077007,0.33341817929794537,1.245159216772152,0
40,0.7253164556962025,0.7897176168933063,0.3320763233011244,1.2459478837025317,0
41,0.7063291139240506,0.7789492099562028,0.327001061830178,1.2529989121835443,0
42,0.7056962025316456,0.776784827777164,0.32480858643143234,1.2452556368670886,0
43,0.710126582278481,0.767209750907137,0.31318882402098164,1.2527615704113924,0
44,0.7183544303797469,0.7839483371499028,0.2958603626158077,1.2473249604430379,0
45,0.7170886075949368,0.7840262543906971,0.286829199931445,1.2351760284810127,0
46,0.730379746835443,0.783498700341857,0.285481275572193,1.2286664359177215,0
47,0.7044303797468354,0.7737784307121963,0.2737599402526803,1.2417919303797469,0
48,0.7240506329113924,0.7766359667990772,0.2814590121452803,1.235665545886076,0
49,0.700632911392405,0.7704163446529042,0.2743487453421365,1.2422196400316456,0
50,0.7132911392405064,0.7763548637352617,0.264964543219623,1.2317691851265822,0
51,0.7177215189873418,0.7782001688391671,0.2538843113620413,1.2320757515822784,0
52,0.6873417721518987,0.7597352068328962,0.24612272666395804,1.2451740506329114,0
53,0.7164556962025317,0.789712446364814,0.24140376316388942,1.226597112341772,0
54,0.7113924050632912,0.7676272936270362,0.2488516898705594,1.2448477056962026,0
55,0.7158227848101266,0.7821286871042995,0.22948437722296047,1.2266935324367088,0
56,0.720253164556962,0.7910303273960657,0.23666760614824608,1.2286540743670886,0
57,0.6949367088607595,0.7890470484790659,0.2210727451380091,1.228545292721519,0
58,0.7050632911392405,0.7789313051147978,0.2104877884576201,1.2262460443037975,0
59,0.7120253164556962,0.7730292951627471,0.22675361568736366,1.2336036392405063,0
60,0.729746835443038,0.7845233761880847,0.2043905930940466,1.2216871044303796,0
61,0.7177215189873418,0.7765032859195088,0.21109747468518458,1.2291880933544304,0
62,0.7386075949367089,0.7820017268450258,0.20078910544345324,1.2184038765822784,0
63,0.7075949367088608,0.7839135527081523,0.18781456190797766,1.2353540348101266,0
64,0.7196202531645569,0.7747836339355321,0.2021287549028987,1.2290199762658227,0
65,0.7189873417721518,0.7835703427388665,0.19588595419422972,1.2303846914556962,0
66,0.7082278481012658,0.7757731226140887,0.21071404519605605,1.2413345530063291,0
67,0.7265822784810126,0.7820563599096901,0.1938861178848046,1.2224016020569621,0
68,0.7227848101265822,0.775838662329009,0.17806066446213867,1.2199317642405063,0
69,0.7120253164556962,0.7551564284571238,0.18012432317123844,1.2341722705696203,0
70,0.720886075949367,0.7762676959075265,0.17173363469565653,1.224070411392405,0
71,0.7424050632911392,0.7952552104471419,0.1859312748570607,1.2207575158227848,1
